sep=,
Timestamp,KM_24FIA523602
2024-01-01 00:00:00,2.4899816458672306
2024-01-02 00:00:00,2.4737689668354
2024-01-03 00:00:00,2.444748949049802
2024-01-04 00:00:00,2.4845230582660003
2024-01-05 00:00:00,2.5056632115002073
2024-01-06 00:00:00,2.483635294075922
2024-01-07 00:00:00,2.4846463878563165
2024-01-08 00:00:00,2.4948670235110653
2024-01-09 00:00:00,2.440685548912045
2024-01-10 00:00:00,2.441821522464353
2024-01-11 00:00:00,2.445633425298661
2024-01-12 00:00:00,2.45748600517986
2024-01-13 00:00:00,2.436885318284233
2024-01-14 00:00:00,2.4534171290281805
2024-01-15 00:00:00,2.4699817027344735
2024-01-16 00:00:00,2.507927304710504
2024-01-17 00:00:00,2.5437754720808163
2024-01-18 00:00:00,2.542880163314166
2024-01-19 00:00:00,2.5574978267429085
2024-01-20 00:00:00,2.5875643879699464
2024-01-21 00:00:00,2.576070798213286
2024-01-22 00:00:00,2.510494963167993
2024-01-23 00:00:00,2.464414858685598
2024-01-24 00:00:00,2.453619884155967
2024-01-25 00:00:00,2.4499515776308622
2024-01-26 00:00:00,2.4129912061713363
2024-01-27 00:00:00,2.438465880243867
2024-01-28 00:00:00,2.469172820955241
2024-01-29 00:00:00,2.4657442055615
2024-01-30 00:00:00,2.407978376464709
2024-01-31 00:00:00,2.422127185593599
2024-02-01 00:00:00,2.4412970666449385
2024-02-02 00:00:00,2.4839507197064377
2024-02-03 00:00:00,2.4808765722424897
2024-02-04 00:00:00,2.4620864829089895
2024-02-05 00:00:00,2.430974373718101
2024-02-06 00:00:00,2.4435242935380423
2024-02-07 00:00:00,2.5213484839432754
2024-02-08 00:00:00,2.495594452865147
2024-02-09 00:00:00,2.4871589913771133
2024-02-10 00:00:00,2.4741478290353656
2024-02-11 00:00:00,2.48670250898986
2024-02-12 00:00:00,2.4817278318438234
2024-02-13 00:00:00,2.448726355386553
2024-02-14 00:00:00,2.4053844408635747
2024-02-15 00:00:00,2.430290157325843
2024-02-16 00:00:00,2.4088554302244276
2024-02-17 00:00:00,2.4514413212764037
2024-02-18 00:00:00,2.486638181441361
2024-02-19 00:00:00,2.4738888990492747
2024-02-20 00:00:00,2.4588328968761166
2024-02-21 00:00:00,2.4890919362588035
2024-02-22 00:00:00,2.5002650190172355
2024-02-23 00:00:00,2.469269625196854
2024-02-24 00:00:00,2.4453323032982937
2024-02-25 00:00:00,2.4455760444921495
2024-02-26 00:00:00,2.4812513733130905
2024-02-27 00:00:00,2.4478544775562088
2024-02-28 00:00:00,2.46498746329436
2024-02-29 00:00:00,2.4979679573272127
2024-03-01 00:00:00,2.525248594057776
2024-03-02 00:00:00,2.5170959883210844
2024-03-03 00:00:00,2.4380951487052185
2024-03-04 00:00:00,2.357676272066653
2024-03-05 00:00:00,2.4164976750728164
2024-03-06 00:00:00,2.452847413481382
2024-03-07 00:00:00,2.4612229646990693
2024-03-08 00:00:00,2.452891036180986
2024-03-09 00:00:00,2.2689056307022204
2024-03-10 00:00:00,2.419090966863769
2024-03-11 00:00:00,2.4008293645822043
2024-03-12 00:00:00,2.499699878987883
2024-03-13 00:00:00,2.522470893387992
2024-03-14 00:00:00,2.4542527059686416
2024-03-15 00:00:00,2.3556623458862305
2024-03-16 00:00:00,2.335724353790283
2024-03-17 00:00:00,2.3532288587065833
2024-03-18 00:00:00,2.412621528713237
2024-03-19 00:00:00,2.407936777828473
2024-03-20 00:00:00,2.4609617448791306
2024-03-21 00:00:00,2.4391731541714177
2024-03-22 00:00:00,2.3014129202937097
2024-03-23 00:00:00,2.2110025885080264
2024-03-24 00:00:00,2.3723897035116384
2024-03-25 00:00:00,2.4106060603950867
2024-03-26 00:00:00,2.454840809526261
2024-03-27 00:00:00,2.4107211741142813
2024-03-28 00:00:00,2.396354382322351
2024-03-29 00:00:00,2.41794577968065
2024-03-30 00:00:00,2.362955792996062
2024-03-31 00:00:00,2.3846731811817077
2024-04-01 00:00:00,2.3710714760671054
2024-04-02 00:00:00,2.322187916683377
2024-04-03 00:00:00,2.2951949654657526
2024-04-04 00:00:00,2.30380201006377
2024-04-05 00:00:00,2.313474844407153
2024-04-06 00:00:00,2.304032950175033
2024-04-07 00:00:00,2.289213963735988
2024-04-08 00:00:00,2.3082340637373706
2024-04-09 00:00:00,2.278203460604511
2024-04-10 00:00:00,2.2828330652470936
2024-04-11 00:00:00,2.2585388465363665
2024-04-12 00:00:00,2.310016249150588
2024-04-13 00:00:00,2.2919856336409303
2024-04-14 00:00:00,2.258895449870166
2024-04-15 00:00:00,2.314542437330998
2024-04-16 00:00:00,1.8581601565289827
2024-04-17 00:00:00,NaN
2024-04-18 00:00:00,NaN
2024-04-19 00:00:00,2.163173913387237
2024-04-20 00:00:00,2.2791079804577223
2024-04-21 00:00:00,0.37236627563243246
2024-04-22 00:00:00,0.6819342367161909
2024-04-23 00:00:00,2.2238059508855677
2024-04-24 00:00:00,2.244011454584981
2024-04-25 00:00:00,2.279912602992527
2024-04-26 00:00:00,2.2604640952663284
2024-04-27 00:00:00,2.2248354767069745
2024-04-28 00:00:00,2.2185772682615985
2024-04-29 00:00:00,2.164079492071436
2024-04-30 00:00:00,2.254584226288178
2024-05-01 00:00:00,2.365102115091346
2024-05-02 00:00:00,2.3059223536402063
2024-05-03 00:00:00,2.2969483208987422
2024-05-04 00:00:00,2.271565383203601
2024-05-05 00:00:00,2.209629228366192
2024-05-06 00:00:00,2.1890880796520196
2024-05-07 00:00:00,2.178223385239646
2024-05-08 00:00:00,2.244691934127496
