sep=,
Timestamp,KM_24SF0101\-141\-1.THRLY\[1\] + KS_23SF0201-141\-1.THRLY\[1\] + KN_22SF0301\-141\-1.HRLY\[22\]
2021-02-27 01:35:05,NaN
2021-03-01 02:33:40,NaN
2021-03-03 03:32:15,NaN
2021-03-05 04:30:50,NaN
2021-03-07 05:29:25,NaN
2021-03-09 06:28:00,NaN
2021-03-11 07:26:35,NaN
2021-03-13 08:25:10,NaN
2021-03-15 09:23:45,NaN
2021-03-17 10:22:20,NaN
2021-03-19 11:20:55,NaN
2021-03-21 12:19:30,NaN
2021-03-23 13:18:05,NaN
2021-03-25 14:16:40,NaN
2021-03-27 15:15:15,NaN
2021-03-29 16:13:50,NaN
2021-03-31 17:12:25,NaN
2021-04-02 18:11:00,NaN
2021-04-04 19:09:35,NaN
2021-04-06 20:08:10,NaN
2021-04-08 21:06:45,NaN
2021-04-10 22:05:20,NaN
2021-04-12 23:03:55,NaN
2021-04-15 00:02:30,NaN
2021-04-17 01:01:05,NaN
2021-04-19 01:59:40,NaN
2021-04-21 02:58:15,NaN
2021-04-23 03:56:50,NaN
2021-04-25 04:55:25,NaN
2021-04-27 05:54:00,NaN
2021-04-29 06:52:35,NaN
2021-05-01 07:51:10,NaN
2021-05-03 08:49:45,NaN
2021-05-05 09:48:20,NaN
2021-05-07 10:46:55,NaN
2021-05-09 11:45:30,NaN
2021-05-11 12:44:05,NaN
2021-05-13 13:42:40,NaN
2021-05-15 14:41:15,NaN
2021-05-17 15:39:50,NaN
2021-05-19 16:38:25,NaN
2021-05-21 17:37:00,NaN
2021-05-23 18:35:35,NaN
2021-05-25 19:34:10,NaN
2021-05-27 20:32:45,NaN
2021-05-29 21:31:20,NaN
2021-05-31 22:29:55,NaN
2021-06-02 23:28:30,NaN
2021-06-05 00:27:05,NaN
2021-06-07 01:25:40,NaN
2021-06-09 02:24:15,NaN
2021-06-11 03:22:50,NaN
2021-06-13 04:21:25,NaN
2021-06-15 05:20:00,NaN
2021-06-17 06:18:35,NaN
2021-06-19 07:17:10,NaN
2021-06-21 08:15:45,NaN
2021-06-23 09:14:20,NaN
2021-06-25 10:12:55,NaN
2021-06-27 11:11:30,NaN
2021-06-29 12:10:05,NaN
2021-07-01 13:08:40,NaN
2021-07-03 14:07:15,NaN
2021-07-05 15:05:50,NaN
2021-07-07 16:04:25,NaN
2021-07-09 17:02:55,NaN
2021-07-09 17:03:00,NaN
2021-07-11 18:01:35,NaN
2021-07-13 19:00:10,NaN
2021-07-15 19:58:45,NaN
2021-07-17 20:57:20,NaN
2021-07-19 21:55:55,NaN
2021-07-21 22:54:30,NaN
2021-07-23 23:53:05,NaN
2021-07-26 00:51:40,NaN
2021-07-28 01:50:15,NaN
2021-07-30 02:48:50,NaN
2021-08-01 03:47:25,NaN
2021-08-03 04:46:00,NaN
2021-08-05 05:44:35,NaN
2021-08-07 06:43:10,NaN
2021-08-09 07:41:45,NaN
2021-08-11 08:40:20,NaN
2021-08-13 09:38:55,NaN
2021-08-15 10:37:30,NaN
2021-08-17 11:36:05,NaN
2021-08-19 12:34:40,NaN
2021-08-21 13:33:15,NaN
2021-08-23 14:31:50,NaN
2021-08-25 15:30:25,NaN
2021-08-27 16:29:00,NaN
2021-08-29 17:27:35,NaN
2021-08-31 18:26:10,NaN
2021-09-02 19:24:45,NaN
2021-09-04 20:23:20,NaN
2021-09-06 21:21:55,NaN
2021-09-08 22:20:30,NaN
2021-09-10 23:19:05,NaN
2021-09-13 00:17:40,NaN
2021-09-15 01:16:15,NaN
2021-09-17 02:14:50,NaN
2021-09-19 03:13:25,NaN
2021-09-21 04:12:00,NaN
2021-09-23 05:10:35,NaN
2021-09-25 06:09:10,NaN
2021-09-27 07:07:45,NaN
2021-09-29 08:06:20,NaN
2021-10-01 09:04:55,NaN
2021-10-03 10:03:30,NaN
2021-10-05 11:02:05,NaN
2021-10-07 12:00:40,NaN
2021-10-09 12:59:15,NaN
2021-10-11 13:57:50,NaN
2021-10-13 14:56:25,NaN
2021-10-15 15:55:00,NaN
2021-10-17 16:53:35,NaN
2021-10-19 17:52:10,NaN
2021-10-21 18:50:45,NaN
2021-10-23 19:49:20,NaN
2021-10-25 20:47:55,NaN
2021-10-27 21:46:30,NaN
2021-10-29 22:45:05,NaN
2021-10-31 23:43:40,NaN
2021-11-03 00:42:15,NaN
2021-11-05 01:40:50,NaN
2021-11-07 02:39:25,NaN
2021-11-09 03:38:00,NaN
2021-11-11 04:36:35,NaN
2021-11-13 05:35:10,NaN
2021-11-15 06:33:45,NaN
2021-11-17 07:32:20,NaN
2021-11-19 08:30:55,NaN
2021-11-21 09:29:30,NaN
2021-11-23 10:28:05,NaN
2021-11-25 11:26:40,NaN
2021-11-27 12:25:15,NaN
2021-11-29 13:23:50,NaN
2021-12-01 14:22:25,NaN
2021-12-03 15:21:00,NaN
2021-12-05 16:19:35,NaN
2021-12-07 17:18:10,NaN
2021-12-09 18:16:45,NaN
2021-12-11 19:15:20,NaN
2021-12-13 20:13:55,NaN
2021-12-15 21:12:30,NaN
2021-12-17 22:11:05,NaN
2021-12-19 23:09:40,NaN
2021-12-22 00:08:15,NaN
2021-12-24 01:06:50,NaN
2021-12-26 02:05:25,NaN
2021-12-28 03:04:00,NaN
2021-12-30 04:02:35,NaN
2022-01-01 05:01:10,NaN
2022-01-03 05:59:45,NaN
2022-01-05 06:58:20,NaN
2022-01-07 07:56:55,NaN
2022-01-09 08:55:30,NaN
2022-01-11 09:54:05,NaN
2022-01-13 10:52:40,NaN
2022-01-15 11:51:15,NaN
2022-01-17 12:49:50,NaN
2022-01-19 13:48:25,NaN
2022-01-21 14:47:00,NaN
2022-01-23 15:45:35,NaN
2022-01-25 16:44:10,NaN
2022-01-27 17:42:45,NaN
2022-01-29 18:41:20,NaN
2022-01-31 19:39:55,NaN
2022-02-02 20:38:30,NaN
2022-02-04 21:37:05,NaN
2022-02-06 22:35:40,NaN
2022-02-08 23:34:15,NaN
2022-02-11 00:32:50,NaN
2022-02-13 01:31:25,NaN
2022-02-15 02:30:00,NaN
2022-02-17 03:28:35,NaN
2022-02-19 04:27:10,NaN
2022-02-21 05:25:45,NaN
2022-02-23 06:24:20,NaN
2022-02-25 07:22:55,NaN
2022-02-27 08:21:30,NaN
2022-03-01 09:20:05,NaN
2022-03-03 10:18:40,NaN
2022-03-05 11:17:15,NaN
2022-03-07 12:15:50,NaN
2022-03-09 13:14:25,NaN
2022-03-11 14:13:00,NaN
2022-03-13 15:11:35,NaN
2022-03-15 16:10:10,NaN
2022-03-17 17:08:45,NaN
2022-03-19 18:07:20,NaN
2022-03-21 19:05:55,NaN
2022-03-23 20:04:30,NaN
2022-03-25 21:03:05,NaN
2022-03-27 22:01:40,NaN
2022-03-29 23:00:15,NaN
2022-03-31 23:58:50,NaN
2022-04-03 00:57:25,NaN
2022-04-05 01:56:00,NaN
2022-04-07 02:54:35,NaN
2022-04-09 03:53:10,NaN
2022-04-11 04:51:45,NaN
2022-04-13 05:50:20,NaN
2022-04-15 06:48:55,NaN
2022-04-17 07:47:30,NaN
2022-04-19 08:46:05,NaN
2022-04-21 09:44:40,NaN
2022-04-23 10:43:15,NaN
2022-04-25 11:41:50,NaN
2022-04-27 12:40:25,NaN
2022-04-29 13:39:00,NaN
2022-05-01 14:37:35,NaN
2022-05-03 15:36:10,NaN
2022-05-05 16:34:45,NaN
2022-05-07 17:33:20,NaN
2022-05-09 18:31:55,NaN
2022-05-11 19:30:30,NaN
2022-05-13 20:29:05,NaN
2022-05-15 21:27:40,NaN
2022-05-17 22:26:15,NaN
2022-05-19 23:24:50,NaN
2022-05-22 00:23:25,NaN
2022-05-24 01:22:00,NaN
2022-05-26 02:20:35,NaN
2022-05-28 03:19:10,NaN
2022-05-30 04:17:45,NaN
2022-06-01 05:16:20,NaN
2022-06-03 06:14:55,NaN
2022-06-05 07:13:30,NaN
2022-06-07 08:12:05,NaN
2022-06-09 09:10:40,NaN
2022-06-11 10:09:15,NaN
2022-06-13 11:07:50,NaN
2022-06-15 12:06:25,NaN
